No.	TOKEN	NE-TAG	NE-EMB	ID	url_id	left	right	top	bottom	conf
# http://empty
0	Sonntagsbeilage	O	O	-	0	356	1965	214	297
1	der	O	O	-	0	356	1965	214	297
2	Königsberger	B-ORG	O	-	0	356	1965	214	297
3	Hartungſchen	O	O	-	0	356	1965	214	297
4	Zeitung	B-ORG	O	-	0	356	1965	214	297
5	.	O	O	-	0	356	1965	214	297
0	Nr	O	O	-	0	164	540	304	351
1	.	O	O	-	0	164	540	304	351
2	409	O	O	-	0	164	540	304	351
3	.	O	O	-	0	164	540	304	351
4	Königsberg	B-LOC	O	-	0	164	540	304	351
5	.	O	O	-	0	164	540	304	351
0	Sonntag	O	O	-	0	1725	2151	307	353
1	,	O	O	-	0	1725	2151	307	353
2	1	O	O	-	0	1725	2151	307	353
3	.	O	O	-	0	1725	2151	307	353
4	September	O	O	-	0	1725	2151	307	353
5	1907	O	O	-	0	1725	2151	307	353
6	.	O	O	-	0	1725	2151	307	353
0	Ein	O	O	-	0	143	793	411	466
1	Freiluftmuſeum	O	O	-	0	143	793	411	466
2	für	O	O	-	0	143	793	411	466
3	Oſtpreußen	O	O	-	0	143	793	411	466
4	!	O	O	-	0	143	793	411	466
0	Von	O	O	-	0	309	622	460	498
1	Ludwig	B-PER	O	-	0	309	622	460	498
2	Goldſtein	O	O	-	0	309	622	460	498
3	.	O	O	-	0	309	622	460	498
0	Es	O	O	-	0	165	806	495	531
1	iſt	O	O	-	0	165	806	495	531
2	heute	O	O	-	0	165	806	495	531
3	nicht	O	O	-	0	165	806	495	531
4	ganz	O	O	-	0	165	806	495	531
5	leicht	O	O	-	0	165	806	495	531
6	,	O	O	-	0	165	806	495	531
7	groß	O	O	-	0	165	806	495	531
8	:	O	O	-	0	165	806	495	531
9	Projekte	O	O	-	0	165	806	495	531
10	zu	O	O	-	0	165	806	495	531
11	verwirklichen	O	O	-	0	165	806	495	531
12	oder	O	O	-	0	165	806	495	531
13	auch	O	O	-	0	126	809	520	554
14	nur	O	O	-	0	126	809	520	554
15	dem	O	O	-	0	126	809	520	554
16	geneigten	O	O	-	0	126	809	520	554
17	Wohlwollen	O	O	-	0	126	809	520	554
18	ſeiner	O	O	-	0	126	809	520	554
19	lieben	O	O	-	0	126	809	520	554
20	Mitmenſcher	O	O	-	0	126	809	520	554
21	zu	O	O	-	0	126	809	520	554
22	empfehlen	O	O	-	0	126	809	543	579
23	.	O	O	-	0	126	809	543	579
0	Wir	O	O	-	0	126	809	543	579
1	ſind	O	O	-	0	126	809	543	579
2	—	O	O	-	0	126	809	543	579
3	mit	O	O	-	0	126	809	543	579
4	Recht	O	O	-	0	126	809	543	579
5	—	O	O	-	0	126	809	543	579
6	alle	O	O	-	0	126	809	543	579
7	ein	O	O	-	0	126	809	543	579
8	wenig	O	O	-	0	126	809	543	579
9	von	O	O	-	0	126	809	543	579
10	Mißtrauen	O	O	-	0	126	809	543	579
11	erfüllt	O	O	-	0	126	809	567	602
12	gegen	O	O	-	0	126	809	567	602
13	die	O	O	-	0	126	809	567	602
14	„	O	O	-	0	126	809	567	602
15	dringenden	O	O	-	0	126	809	567	602
16	Bedürfniſſe	O	O	-	0	126	809	567	602
17	“	O	O	-	0	126	809	567	602
18	,	O	O	-	0	126	809	567	602
19	die	O	O	-	0	126	809	567	602
20	man	O	O	-	0	126	809	567	602
21	uns	O	O	-	0	126	809	567	602
22	von	O	O	-	0	126	809	567	602
23	den	O	O	-	0	126	809	567	602
24	verſchiedenſten	O	O	-	0	126	809	590	626
25	Seiten	O	O	-	0	126	809	590	626
26	aufzuſchwatzen	O	O	-	0	126	809	590	626
27	ſucht	O	O	-	0	126	809	590	626
28	.	O	O	-	0	126	809	590	626
0	Der	O	O	-	0	126	809	590	626
1	Gründerſchwindel	O	O	-	0	126	809	590	626
2	urd	O	O	-	0	126	809	613	649
3	die	O	O	-	0	126	809	613	649
4	Senſationsgier	O	O	-	0	126	809	613	649
5	unruhiger	O	O	-	0	126	809	613	649
6	Köpfe	O	O	-	0	126	809	613	649
7	ſowie	O	O	-	0	126	809	613	649
8	die	O	O	-	0	126	809	613	649
9	zu	O	O	-	0	126	809	613	649
10	ungeahnter	O	O	-	0	126	809	613	649
11	Höhe	O	O	-	0	126	806	637	672
12	getriebene	O	O	-	0	126	806	637	672
13	Kunſt	O	O	-	0	126	806	637	672
14	der	O	O	-	0	126	806	637	672
15	Reklame	O	O	-	0	126	806	637	672
16	haben	O	O	-	0	126	806	637	672
17	in	O	O	-	0	126	806	637	672
18	uns	O	O	-	0	126	806	637	672
19	einen	O	O	-	0	126	806	637	672
20	nur	O	O	-	0	126	806	637	672
